"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","TMAX","TMIN"
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-06",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-08",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-09",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-10",,,"0.02",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-11",,,"1.30",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-12",,,"1.66",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-13",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-14",,,"0.01",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-15",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-16",,,"0.00",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-17",,,"0.17",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-18",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-19",,,"0.27",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-20",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-21",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-22",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-23",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-24",,,"0.16",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-25",,,"0.80",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-26",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-28",,,"0.28",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-29",,,"0.04",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-04-30",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-01",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-02",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-03",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-04",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-05",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-06",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-07",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-08",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-09",,,"0.00","0.0",,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-10",,,"0.16",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-11",,,"0.35",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-12",,,"0.03",,,
"US1OHER0010","SANDUSKY 3.8 SSW, OH US","2013-05-13",,,"0.00","0.0",,
